split,model,ablation,n_train,eval_split,decision_type,n_cases,n_seeds,kl_mean,kl_std,jsd_mean,jsd_std,top1_mean,top1_std
G5,nonlinear,full,None,G5,action,2462,5,0.0013007084757042811,6.278616745517388e-05,0.0003279168952798533,1.743199038368675e-05,0.9467099918765232,0.004571937226727922
G5,nonlinear,full,None,G5,all,5000,5,0.0023211031047405684,9.981900000288887e-05,0.0005881748306388083,2.6936837341565986e-05,0.9198799999999998,0.0035653891793182846
G5,nonlinear,full,None,G5,location,2538,5,0.0033109421814495276,0.00015025055130703788,0.0008406393841666835,4.01092787059681e-05,0.8938534278959811,0.003419053293919076
G5,nonlinear,full,None,S0,action,2479,5,0.002051438105322395,7.20641017563488e-05,0.0005188991926761526,1.9621397225008024e-05,0.9324727712787414,0.0038964068224423523
G5,nonlinear,full,None,S0,all,5000,5,0.002570272093046249,8.626813657197958e-05,0.0006519217900685732,2.312155683116791e-05,0.9090399999999998,0.0029305289624912655
G5,nonlinear,full,None,S0,location,2521,5,0.003080462277721946,0.00011755646782233568,0.0007827282236012234,3.043675831103547e-05,0.8859976199920666,0.003155941972378581
G5,simple,full,None,G5,action,2462,5,0.04937534282153436,7.15620709073226e-05,0.012370712869565592,1.6550021002989633e-05,0.831600324939074,0.0018073595013230837
G5,simple,full,None,G5,all,5000,5,0.058142591284024846,0.0001064735957764913,0.01458543624707575,2.2592468685696227e-05,0.80776,0.0010039920318409038
G5,simple,full,None,G5,location,2538,5,0.06664730590760704,0.0001599356439540969,0.016733840090822797,3.712439244460169e-05,0.7846335697399527,0.0012645237616927393
G5,simple,full,None,S0,action,2479,5,0.03814419360003381,5.713186369372592e-05,0.009858241017610982,1.2881045164183365e-05,0.8322710770471964,0.0014930823334668199
G5,simple,full,None,S0,all,5000,5,0.04789197078041501,6.726513126390097e-05,0.012335739828967485,1.3317684483541539e-05,0.8227599999999999,0.0018514858897653286
G5,simple,full,None,S0,location,2521,5,0.05747734945164271,9.801080376976714e-05,0.014771963372542562,1.914095548840975e-05,0.8134073780245934,0.002595069771328256
G5,uniform,full,None,G5,action,2462,1,0.2123163959048007,0.0,0.05789035011465582,0.0,0.2587327376116978,0.0
G5,uniform,full,None,G5,all,5000,1,0.22646031952209006,0.0,0.06168585816600568,0.0,0.2534,0.0
G5,uniform,full,None,G5,location,2538,1,0.24018070563153307,0.0,0.0653677103419014,0.0,0.24822695035460993,0.0
G6,nonlinear,full,None,G6,action,2457,5,0.017096908331869404,0.0010906187918619378,0.004420537315852179,0.00028166771998737147,0.77004477004477,0.0036174987453462043
G6,nonlinear,full,None,G6,all,5000,5,0.015422597195784562,0.0005710123904779355,0.00394946943167678,0.00014536472659385533,0.7558400000000001,0.002075572210259141
G6,nonlinear,full,None,G6,location,2543,5,0.013804908457538217,0.0007070111595124187,0.003494332274217496,0.00017897420945796493,0.7421156114825009,0.003786112434734071
G6,nonlinear,full,None,S0,action,2479,5,0.004568078156401976,0.00017771902049154074,0.0011814393021206408,4.525237056398494e-05,0.9160145219846711,0.0007759332013582712
G6,nonlinear,full,None,S0,all,5000,5,0.008184562600747448,0.0002464278534982556,0.0020831947660945663,6.102209471949822e-05,0.8525600000000001,0.002790698837209069
G6,nonlinear,full,None,S0,location,2521,5,0.011740796213414013,0.0005485812901821749,0.002969926933961032,0.0001378112906829135,0.7901626338754462,0.00541709650287491
G6,simple,full,None,G6,action,2457,5,0.07071088083147192,0.00035276966972768494,0.018240456126124214,0.00010206441148222407,0.7789987789987791,0.005050742224660498
G6,simple,full,None,G6,all,5000,5,0.06500491224158349,0.0003381407205447294,0.016843709252032765,0.00010091141764161412,0.75636,0.008415937262123552
G6,simple,full,None,G6,location,2543,5,0.05949190995084188,0.0004378182269341835,0.01549419801741118,0.0001210331936264522,0.7344868265827762,0.01189629282025266
G6,simple,full,None,S0,action,2479,5,0.03821330593551651,5.4298745375139324e-05,0.010027909537209988,9.11337653745377e-06,0.8466317063331988,0.0011193575575241428
G6,simple,full,None,S0,all,5000,5,0.05143209505072577,0.0001837221622780225,0.013396423861028784,5.4686982726613435e-05,0.79744,0.004899795914117252
G6,simple,full,None,S0,location,2521,5,0.06443065840518977,0.0003413943793094869,0.016708818549147304,0.00010213820218370984,0.7490678302261008,0.009095727592467358
G6,uniform,full,None,G6,action,2457,1,0.22121922051752746,0.0,0.05519081633191957,0.0,0.14733414733414735,0.0
G6,uniform,full,None,G6,all,5000,1,0.19364977155442023,0.0,0.049764346926738,0.0,0.2044,0.0
G6,uniform,full,None,G6,location,2543,1,0.1670126751712687,0.0,0.04452139162648982,0.0,0.2595359811246559,0.0
S0,agnostic_nonlinear,full,None,G1,action,2482,5,0.19286686069213096,0.0013679754851167315,0.05274552351941445,0.00031492564642535397,0.578726833199033,0.011899567012331708
S0,agnostic_nonlinear,full,None,G1,all,5000,5,0.1988771000757681,0.0010710802577700448,0.05382939066381839,0.00027841353440644,0.5008,0.0039370039370059074
